date,git_commit,model_name,model_size,inference_backend,prompt_version,temperature,top_p,max_tokens,input_type,dataset_version,task_type,metrics,result_summary,failure_cases,next_action
2026-07-06,e63a00e,Qwen/Qwen2-VL-2B-Instruct,2B,vLLM 0.8.5 Docker,prompt_image_understanding_v1,0.1,0.9,512,image_plus_text,sample_ota_images_v1,image_understanding,"health_ok; models_ok; image_understanding_ok","Docker API plus vLLM served Qwen2-VL-2B on local 8GB GPU and returned structured image-understanding output","latest image required CUDA>=13; Qwen2.5-VL-3B too tight for 8GB profiling; file URLs needed data URL conversion","Use Qwen2-VL-2B for Week 1 local demos; retry larger VLMs on larger GPU"
2026-07-07,tracked-in-this-commit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yelp_json_reviews_photo_metadata,yelp_ota_subset_v1,data_preparation,"business_count=200; review_count=1000; multimodal_item_count=581; extracted_photo_count=581","Local Yelp zip archives were extracted, converted into a bounded OTA subset, and only referenced subset photos were materialized","official zips contain gzip tar payloads named .tar plus macOS resource entries; extractor skips resource entries and streams gzip tar directly","Use this processed subset for current Week 1 data validation only"
2026-07-08,tracked-in-this-commit,Qwen/Qwen2-VL-2B-Instruct,2B,vLLM 0.8.5 Docker,prompt_image_understanding_v1,0.1,0.9,512,two_yelp_subset_images,yelp_ota_subset_v1,multi_image_live_vllm_stretch,"api_health_ok; vllm_models_ok; live_multi_image_http_ok; fallback_detected=false; parsed_json_ok=false","Two Yelp subset images reached live vLLM through the FastAPI API without API fallback","model returned truncated or malformed fenced JSON; parser produced unstructured fallback response with confidence=0.3","Stretch item only; not required for Week 1 acceptance"
2026-07-14,"06005fa (dirty Week 3 worktree)",Qwen/Qwen2-VL-2B-Instruct,2B,vLLM readiness probe,"PENDING (baseline_minimal_v1 not executed)","0.1 (configured; not used)","0.9 (configured; not used)","512 (configured; not used)",no_week3_image_request,week3_evaluation_v1,week3_evaluation_readiness,"targets product/after-sales/itinerary=200/150/100; candidate_count=0/0/0; annotated_count=0/0/0; validated_count=0/0/0; tested_count=0/0/0; all real accuracy/precision/recall/F1/completeness/violation-rate/JSON/Schema/OCR/latency metrics=PENDING","PARTIAL: Stage 1–4 engineering verified; Stage 5 real baseline and standardized comparison PENDING; /v1/models readiness probe returned Qwen/Qwen2-VL-2B-Instruct; no Week 3 image request, model output, or latency metric","No real model failure case; converted Week 3 candidate manifests, human annotations, and validated samples were missing although local Yelp source data and processed artifacts existed","At that point incomplete: candidate conversion, human annotation, validated gating, real baseline, and standardized comparison"
2026-07-14,"06005fa (dirty Week 3 worktree)",N/A,N/A,deterministic local candidate builder,N/A,N/A,N/A,N/A,"Yelp photos plus business-synthetic evidence and itinerary constraints",week3_evaluation_v1,week3_candidate_preparation,"target/candidate/annotated/validated/tested product=200/200/0/0/0; after-sales=150/150/0/0/0; itinerary=100/100/0/0/0; exclusion_count=450; real model metrics=PENDING","All configured candidate and exclusion counts built and validated; no human annotation or model request","Initial group-after-photo sampling and ambiguous multi-category mapping caused hotel/attraction shortfalls; fixed with group-first selection and OTA category precedence","At that point incomplete: human annotation, validated gating, real baseline, and same-set standardized comparison"
2026-07-21,"06005fa (dirty Week 3 worktree)",Qwen/Qwen2-VL-2B-Instruct,2B,vLLM HTTP,baseline_minimal_v1,0.1,0.9,512,"450 frozen human-annotated samples",week3_evaluation_v1,week3_zero_shot_baseline,"selected/recorded=450/450; JSON compliance=0%/0%/0%; semantic task metrics=PENDING support=0; mean latency ms=3463/2139/3508","Completed real baseline; manifest exclusion Prompt Schema and result-count validation passed after frozen-manifest restoration","Natural-language baseline was not deterministically parsed; format failure does not measure native semantic accuracy","Keep semantic metrics PENDING and Week 3 PARTIAL; do not repeat equivalent live requests"
2026-07-21,"06005fa (dirty Week 3 worktree)",Qwen/Qwen2-VL-2B-Instruct,2B,vLLM HTTP,standardized_v1,0.1,0.9,512,"same 450 frozen human-annotated samples",week3_evaluation_v1,week3_standardized_prompt_evidence,"JSON compliance=68.5%/98.0%/28.0%; Schema pass=29.5%/2.0%/0.0%; supported scalar accuracy product category=20% n110 price=13% n100 after-sales issue=0% n82 severity=0% n82","Completed optional standardized run validates four-layer Prompt and Schema behavior on the identical frozen set","Frozen gold has no facility-damage labels and no itinerary style-preference labels; invalid structured outputs remain frequent","Use as supplementary evidence; paired comparison is not a Week 3 completion gate"
2026-07-21,"06005fa (dirty Week 3 worktree)",N/A,N/A,deterministic frozen-data restoration,N/A,N/A,N/A,N/A,"restored frozen manifests and 450-row exclusion registry",week3_evaluation_v1,week3_frozen_data_restoration,"product/after-sales/itinerary target=candidate=annotated=validated=tested=200/150/100; after-sales sources public/synthetic=76/74; both run validators status=ok","PARTIAL: restored exact run-bound data hashes without modifying annotation payloads or requesting new labels","Gold coverage: product category unknown=90 and price unknown=100 are valid no-direct-evidence labels; visible_facilities nonempty/empty=128/72; after-sales issue unknown=68 facility_damage=0; itinerary empty style_preferences=100 with probable historical UI field exposure or serialization defect","Frozen v1 selected: no v2, annotation reopening, supplemental labeling, or v2 rescoring; submit actual diff and evidence boundary for Project Control final review"
2026-07-25,"04fc0be (baseline semantic scoring worktree)",Qwen/Qwen2-VL-2B-Instruct,2B,"offline deterministic lexical coding",baseline_minimal_v1,N/A,N/A,N/A,"existing 450 raw baseline outputs",week3_evaluation_v2,baseline_semantic_coding_v1,"product: category accuracy=45.45% n110; price=2.00% n100; style macro/micro F1=28.28%/16.53% n200; facility=53.22%/46.41% n200; completeness=23.50% n169 | after-sales: issue=60.00% n150; severity=0.00% n150; key-info macro/micro F1=29.67%/21.02% n150; OCR recall=14.22% n75 | itinerary: constraint accuracy=0.00% n100; hard/soft macro F1=0.00%/0.00% n100; element completeness=77.20% n100; element macro/micro F1=71.09%/71.81% n100 | JSON/Schema=0%/0% all scenes","READY / COMPLETED: score week3_v2_baseline_full_20260724_001__baseline_semantic_coding_v1 generated without model requests or gold leakage","Fixed lexical coding misses unregistered paraphrases, negation, implicit semantics, and exact free-text constraint equivalence","Week 3 closed after verification and branch promotion"
2026-08-02,"7afbe9f (Qwen3.7 rerun worktree)",Qwen3.7-Plus,hosted,Alibaba Cloud Model Studio OpenAI-compatible,"baseline_minimal_v1; standardized_v2; per-scenario Week 4 winners",0.1,0.9,1280,"450 human-gold image-plus-text samples",week3_evaluation_v2,previous_weeks_qwen37_rerun,"baseline and standardized 450/450; Week 4 winner 450/450; winner JSON product/after-sales/itinerary=100%/100%/33%; Schema=98.5%/100%/33%; common semantic paired count=450","Completed Qwen3.7 rerun with product and after-sales fewshot_4_v2 winners and itinerary standardized_v2 winner","One baseline _001 request timed out and was excluded; itinerary format and constraint metrics remain weak","See reports/qwen37_previous_weeks_rerun_report.md"
2026-08-02,"5cdec20 (itinerary repair worktree)",Qwen3.7-Plus,hosted,Alibaba Cloud Model Studio OpenAI-compatible,standardized_v4,0.1,0.9,2560,"100 human-gold itinerary image-plus-text samples",week3_evaluation_v2,itinerary_repair_v4,"JSON=100%; Schema=100%; constraint recognition=89.95%; hard/soft constraint F1=96.33%/85.67%; constraint-check coverage=94%; itinerary-element completeness=100%; mean/P95 latency=20.22/25.40s","Completed without request errors or token-cap hits; all finish reasons stop","Prompt preserves exact text constraints but free-text soft-constraint classification still produces some false positives","See reports/qwen37_itinerary_repair_report.md"
